,item1,item2,similarity
7,number_inpatient,max_glu_serum,0.37798960942377724
8,number_inpatient,metformin,0.06429080015654928
9,number_inpatient,number_emergency,0.3545867720843824
10,number_inpatient,race,-0.04140873781421145
11,number_inpatient,time_in_hospital,-0.044173921785129903
0,number_emergency,HBA,0.28152233440860075
1,number_emergency,admission_type_id,0.023111668843645603
2,number_emergency,age,0.0033381326464296903
3,number_emergency,diag_1,-0.34549165384880653
4,number_emergency,diag_2,-0.342719900427222
5,number_emergency,diag_3,-0.3417413116520342
6,number_emergency,insulin,0.033422700044581435
7,number_emergency,max_glu_serum,0.3812498572218406
8,number_emergency,metformin,0.061817806227658756
9,number_emergency,number_inpatient,0.3211800925808678
10,number_emergency,race,-0.0006534706475332418
11,number_emergency,time_in_hospital,0.005849427742709893
